"index","eco","title","pgn","last_ply","sq_from","sq_to","sq_check","fen"
"1163","C48","Four knights: Spielmann Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 a6 5. Bxc6 dxc6 6. Nxe5 Nxe4 7. Nxe4 Qd4 8. O-O Qxe5 9. Re1 Be6 10. d4 Qd5","10.  ... Qd5","e5","d5","","r3kb1r/1pp2ppp/p1p1b3/3q4/3PN3/8/PPP2PPP/R1BQR1K1 w kq - 1 11"
"1164","C48","Four knights: Spanish, Classical defense","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bc5","4.  ... Bc5","f8","c5","","r1bqk2r/pppp1ppp/2n2n2/1Bb1p3/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 6 5"
"1165","C48","Four knights: Bardeleben Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bc5 5. O-O O-O 6. Nxe5 Nxe5 7. d4 Bd6 8. f4 Nc6 9. e5 Bb4","9.  ... Bb4","d6","b4","","r1bq1rk1/pppp1ppp/2n2n2/1B2P3/1b1P1P2/2N5/PPP3PP/R1BQ1RK1 w - - 1 10"
"1166","C48","Four knights: Marshall Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bc5 5. O-O O-O 6. Nxe5 Nd4","6.  ... Nd4","c6","d4","","r1bq1rk1/pppp1ppp/5n2/1Bb1N3/3nP3/2N5/PPPP1PPP/R1BQ1RK1 w - - 1 7"
"1167","C48","Four knights: Rubinstein counter-gambit","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Nd4","4.  ... Nd4","c6","d4","","r1bqkb1r/pppp1ppp/5n2/1B2p3/3nP3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 6 5"
"1168","C48","Four knights: Rubinstein counter-gambit, Bogolyubov Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Nd4 5. Nxe5 Qe7 6. f4","6. f4 ... ","f2","f4","","r1b1kb1r/ppppqppp/5n2/1B2N3/3nPP2/2N5/PPPP2PP/R1BQK2R b KQkq - 0 6"
"1169","C48","Four knights: Rubinstein counter-gambit, 5.Be2","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Nd4 5. Be2","5. Be2 ... ","b5","e2","","r1bqkb1r/pppp1ppp/5n2/4p3/3nP3/2N2N2/PPPPBPPP/R1BQK2R b KQkq - 7 5"
"1170","C48","Four knights: Rubinstein counter-gambit Maroczy Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Nd4 5. Be2 Nxf3+ 6. Bxf3 Bc5 7. O-O O-O 8. d3 d6 9. Na4 Bb6","9.  ... Bb6","c5","b6","","r1bq1rk1/ppp2ppp/1b1p1n2/4p3/N3P3/3P1B2/PPP2PPP/R1BQ1RK1 w - - 2 10"
"1171","C48","Four knights: Rubinstein counter-gambit, Exchange Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Nd4 5. Nxd4","5. Nxd4 ... ","f3","d4","","r1bqkb1r/pppp1ppp/5n2/1B2p3/3NP3/2N5/PPPP1PPP/R1BQK2R b KQkq - 0 5"
"1172","C48","Four knights: Rubinstein counter-gambit, Henneberger Variation","1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Nd4 5. O-O","5. O-O ... ","e1","g1","","r1bqkb1r/pppp1ppp/5n2/1B2p3/3nP3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq - 7 5"
